epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2745.21,1.03234,0.73414,1.50028,0.82286,0.82683,0.87859,0.68466,0.95149,0.87918,1.6364,0.000643101,0.000643101,0.000643101
43,2810.82,1.04211,0.74736,1.50909,0.83709,0.78631,0.87037,0.67087,0.97463,0.98368,1.71255,0.000628101,0.000628101,0.000628101
44,2873.81,1.03733,0.7522,1.50665,0.84791,0.83021,0.89563,0.70227,0.91304,0.86797,1.71192,0.000612981,0.000612981,0.000612981
45,2939.01,1.0429,0.75309,1.48775,0.83419,0.80166,0.88196,0.68502,1.00049,0.78678,1.78855,0.000597754,0.000597754,0.000597754
46,3001.54,1.0289,0.73987,1.50539,0.84258,0.79859,0.87989,0.6878,0.96299,0.83704,1.73774,0.000582435,0.000582435,0.000582435
47,3064.38,1.03112,0.73185,1.4883,0.80654,0.86399,0.90161,0.70627,0.92781,0.75794,1.69135,0.00056704,0.00056704,0.00056704
48,3129.14,1.01445,0.7345,1.47444,0.83953,0.81276,0.87936,0.68953,0.92992,0.87103,1.66739,0.000551584,0.000551584,0.000551584
49,3193.73,1.0043,0.72556,1.47132,0.82578,0.82776,0.87948,0.69117,0.92922,0.78036,1.67167,0.000536081,0.000536081,0.000536081
50,3257.95,1.0303,0.7312,1.48768,0.81323,0.82353,0.88019,0.69059,0.92243,0.8473,1.6649,0.000520548,0.000520548,0.000520548
51,3321.1,1.00988,0.71003,1.46608,0.82124,0.82745,0.88234,0.6871,0.92692,0.82831,1.62118,0.000505,0.000505,0.000505
52,3387.41,1.01524,0.71568,1.49941,0.8098,0.82356,0.88631,0.69853,0.90552,0.80684,1.67715,0.000489452,0.000489452,0.000489452
53,3452.61,1.00494,0.70934,1.48349,0.83061,0.82653,0.88921,0.70388,0.90102,0.8318,1.66989,0.000473919,0.000473919,0.000473919
54,3516.38,1.01466,0.7223,1.47328,0.80832,0.84157,0.88596,0.69685,0.90598,0.77052,1.68615,0.000458416,0.000458416,0.000458416
55,3581.85,0.98005,0.6847,1.44568,0.84899,0.82192,0.89717,0.71278,0.89105,0.76403,1.69263,0.00044296,0.00044296,0.00044296
56,3646.63,0.99208,0.69657,1.46157,0.83087,0.81793,0.88505,0.6976,0.91537,0.81246,1.68188,0.000427565,0.000427565,0.000427565
57,3709.65,1.00233,0.70805,1.46108,0.83751,0.83082,0.89478,0.71089,0.89999,0.78353,1.75157,0.000412246,0.000412246,0.000412246
58,3773.71,0.97488,0.68234,1.45021,0.81705,0.85015,0.89719,0.70597,0.9118,0.78326,1.67145,0.000397019,0.000397019,0.000397019
59,3839.24,0.98776,0.68999,1.47476,0.83078,0.8299,0.8935,0.71011,0.90946,0.80435,1.68072,0.000381899,0.000381899,0.000381899
60,3902.5,0.97051,0.67497,1.42966,0.82903,0.83077,0.89076,0.71311,0.90035,0.81373,1.72606,0.000366899,0.000366899,0.000366899
61,3966.81,0.97018,0.68723,1.45442,0.81812,0.84523,0.88967,0.70804,0.91356,0.76042,1.70251,0.000352037,0.000352037,0.000352037
62,4033.37,0.985,0.6912,1.46307,0.81268,0.83251,0.88813,0.70741,0.90984,0.79102,1.75617,0.000337325,0.000337325,0.000337325
63,4099.69,0.99507,0.69728,1.46285,0.83174,0.82561,0.88926,0.70932,0.90233,0.80523,1.68785,0.000322778,0.000322778,0.000322778
64,4165.67,0.96849,0.67697,1.47376,0.8358,0.83881,0.89708,0.71874,0.8959,0.80187,1.69849,0.000308412,0.000308412,0.000308412
65,4232.21,0.95162,0.65746,1.46607,0.82683,0.83451,0.89098,0.70336,0.90188,0.83671,1.62843,0.000294239,0.000294239,0.000294239
66,4298.02,0.95632,0.66606,1.45595,0.84185,0.82369,0.89149,0.70645,0.91337,0.81887,1.67198,0.000280275,0.000280275,0.000280275
67,4361.39,0.96544,0.67207,1.43624,0.81442,0.83945,0.88634,0.7064,0.90299,0.78709,1.66834,0.000266532,0.000266532,0.000266532
68,4427.7,0.9584,0.65706,1.45609,0.83639,0.8397,0.90032,0.71527,0.90246,0.80614,1.76402,0.000253024,0.000253024,0.000253024
69,4491.5,0.94972,0.66277,1.41486,0.85185,0.81559,0.89408,0.71176,0.91304,0.78457,1.68667,0.000239766,0.000239766,0.000239766
70,4555.77,0.94273,0.64559,1.43666,0.83299,0.82192,0.88845,0.71148,0.92755,0.80431,1.67396,0.000226769,0.000226769,0.000226769
71,4619.07,0.9517,0.65052,1.40869,0.84702,0.82039,0.89277,0.71278,0.91283,0.79262,1.67632,0.000214046,0.000214046,0.000214046
72,4684.15,0.95066,0.66127,1.44029,0.84035,0.84522,0.90006,0.71756,0.89579,0.82076,1.64812,0.000201611,0.000201611,0.000201611
73,4750.95,0.93585,0.64331,1.44675,0.84809,0.83359,0.90077,0.7198,0.90106,0.83831,1.63574,0.000189475,0.000189475,0.000189475
74,4815.47,0.93252,0.64101,1.41416,0.84414,0.82645,0.89512,0.71933,0.89238,0.76918,1.65015,0.000177651,0.000177651,0.000177651
75,4878.9,0.94085,0.64654,1.42883,0.8327,0.82673,0.89408,0.71508,0.88783,0.79528,1.65214,0.000166149,0.000166149,0.000166149
76,4942.75,0.93602,0.64574,1.42069,0.84003,0.83021,0.89935,0.71849,0.88652,0.7637,1.59092,0.000154982,0.000154982,0.000154982
77,5006.72,0.93199,0.64531,1.41647,0.84302,0.82223,0.89605,0.71608,0.89315,0.78835,1.66869,0.000144161,0.000144161,0.000144161
78,5069.87,0.93551,0.63479,1.40711,0.83695,0.82898,0.89861,0.71874,0.89485,0.77347,1.67029,0.000133695,0.000133695,0.000133695
79,5133.87,0.92925,0.63695,1.40972,0.82536,0.8271,0.89451,0.71786,0.89614,0.77226,1.68139,0.000123596,0.000123596,0.000123596
80,5200.61,0.91875,0.62833,1.44627,0.84255,0.83138,0.89781,0.71645,0.89793,0.79082,1.65765,0.000113873,0.000113873,0.000113873
81,5265.88,0.93278,0.64172,1.43123,0.83929,0.82929,0.89518,0.71687,0.89287,0.79758,1.65023,0.000104537,0.000104537,0.000104537
82,5330.69,0.93487,0.6397,1.41795,0.85013,0.82868,0.90067,0.72368,0.87803,0.74914,1.64418,9.55951e-05,9.55951e-05,9.55951e-05
