epoch,train_loss,train_p,train_r,train_f1,train_iou,val_loss,val_p,val_r,val_f1,val_iou
1,0.2966178105473518,0.722874917730689,0.8464906629323959,0.7714250503182412,0.6433347074240446,0.16294494153015196,0.8251667864738949,0.8785778255689711,0.8507801852529011,0.7407418659755162
2,0.14058280476927756,0.8579277844429016,0.8579204063415528,0.8565920481681824,0.7496776742935181,0.12025260925292969,0.864343784158192,0.8655398062297276,0.8647130415553138,0.7621395152712626
3,0.11659958732128144,0.8741492760181427,0.8602607016563415,0.8662627289295196,0.7645689191818237,0.10765728318975085,0.8588178006429521,0.8859208046443878,0.8720122793364147,0.7735051408646598
4,0.1041416452229023,0.8851397309303284,0.867745726108551,0.8757354362010956,0.7793565702438354,0.10109278642468983,0.8894713473698449,0.8638699981901381,0.8763003765590607,0.7802498236535087
5,0.09918372741341591,0.8901968369483948,0.8698920936584472,0.8794863979816436,0.7852896564006805,0.0983229260596018,0.8786258196073865,0.8786912134715489,0.8784723849523635,0.7836407290564643
6,0.09578595054149627,0.8918190450668335,0.8737136001586914,0.882272444486618,0.7896584312915802,0.09500022232532501,0.8785355053250752,0.8854967119201781,0.8818419651379661,0.7890327828271049
7,0.09293023329973221,0.8943593857288361,0.876659292936325,0.8850636477470398,0.7942170271873474,0.09449024498462677,0.8987536808801075,0.8641118710003202,0.8809233818735395,0.7876075439982944
8,0.09005002418160439,0.8971092963218689,0.8799878735542297,0.8882159080505371,0.799214759349823,0.09116046899367893,0.9005148581096104,0.870403201807113,0.8850722331849356,0.7942030231157938
9,0.08840246602892876,0.8995020558834076,0.8814207494258881,0.8900304644107818,0.8021263206005096,0.09025403348699448,0.8957743228427948,0.8768834405475192,0.8860523615564618,0.7957688816010006
10,0.08620724946260452,0.9007635495662689,0.8846611106395721,0.8923841183185577,0.8060271968841553,0.091636037897496,0.9029593609628224,0.8651335428631495,0.8834988172092135,0.7916776168914068
11,0.08502480106055736,0.902263527393341,0.8852537467479705,0.8934262628555298,0.8077086637020111,0.09042353431383769,0.8869696193271213,0.8863389719100225,0.8865218171997676,0.7965303952731784
